"geänd durch";"ÄndDatum";"ÄndZeit";"Firma";"Teil ";"S_Artikel_Obj";"LiefNr";"S_Lieferant_Obj";"arch";"HptL";"Lief-TeileNr";"Bezeichnung [1]";"Bezeichnung [2]";"Bezeichnung [3]";"Bezeichnung [4]";"LZ";"ZELZ";"MinBestellMng";"Grundmenge";"S_Mengeneinheit_Obj";"Mengenfaktor";"LE n";"LE e";"gültig bis";"AfgJ";"AnfordDat";"Gewicht";"pT";"nT";"S_Preiseinheit_Obj";"PrBz";"S_LiefRabatt_Obj";"Value1_S_RabZuArt_Obj";"Value2_S_RabZuArt_Obj";"Value3_S_RabZuArt_Obj";"Value4_S_RabZuArt_Obj";"Value5_S_RabZuArt_Obj";"Perc1_S_RabZuArt_Obj";"Perc2_S_RabZuArt_Obj";"Perc3_S_RabZuArt_Obj";"Perc4_S_RabZuArt_Obj";"Perc5_S_RabZuArt_Obj";"baGM";"ProduktGr";"S_ProdGruppe_Obj";"S_SNRTyp_Obj";"BetrKal";"S_BetrKalender_Obj";"AnlZt";"angel durch";"AnlDatum";"E_ArtLief_Obj";"M_PackVorschrift_Obj";"Füllmenge";"Konfig";"Basis";"Nr";"Zahl";"Basis";"Nr";"Zahl";"Ver"
"Kleber";25.07.2007;"15:10:42";"100";"2000004";"PA0490::958b368b987d32b4e11131c6ee323205";70520;"PA0602::958b368b987d32b4e11131c6ceeb8789";nein;nein;"";"";"";"";"";70;"4";1.120,000;1.120,000;"PA0611::958b368b987d32b4e11131c6c596dc89";1,0000000;nein;nein;;0000;;0,0000;0%;0%;"PA0621::958b368b987d32b4e11131c6cb38ef89";Einheit;"";"";"";"";"";"";"";"";"";"";"";ja;"";"";"";;"";"16:25:02";"Kleber";26.01.2005;"PA0713::958b368b987d32b4e11126c6210ffe10";"";0,000;nein;0,00;;0,000;0,00;;0,000;nein
"rgruncl";02.10.2020;"08:45:57";"100";"2000004";"PA0490::958b368b987d32b4e11131c6ee323205";70569;"PA0602::958b368b987d32b4e11131c6f8cb8b89";nein;nein;"";"";"";"";"";42;"4";6.300,000;1.575,000;"PA0611::958b368b987d32b4e11131c6c596dc89";1,0000000;nein;nein;;0000;;0,0014;0%;0%;"PA0621::958b368b987d32b4e11131c6cb38ef89";Einheit;"";"";"";"";"";"";"";"";"";"";"";ja;"";"";"";;"";"08:36:04";"nstelmach";20.12.2013;"PA0713::c6794626c3184a95e3114969a0500062";"";0,000;nein;0,00;;0,000;0,00;;0,000;nein
"dneufeld";17.12.2024;"17:04:46";"100";"2000004";"PA0490::958b368b987d32b4e11131c6ee323205";70577;"PA0602::958b368b987d32b4e11131c62503c189";nein;nein;"1-215882-0";"LATCH Buchsenstecker 10 polig";"";"";"";105;"4";283.500,000;105,000;"PA0611::958b368b987d32b4e11131c6c596dc89";1,0000000;nein;nein;;0000;;0,0014;0%;0%;"PA0621::958b368b987d32b4e11131c6cb38ef89";Einheit;"PA0605:z:80ebfab0c34b5faa9214f0453855d610";"";"";"";"";"";"";"";"";"";"";ja;"";"";"";;"";"12:58:59";"nstelmach";16.12.2013;"PA0713::f9ef7aaab0d78889e31149664babb172";"";0,000;nein;0,00;;0,000;0,00;;0,000;nein
"dfischer";17.02.2010;"13:58:04";"100";"2000004";"PA0490::958b368b987d32b4e11131c6ee323205";71512;"PA0602::958b368b987d32b4e11131c622f28b89";nein;nein;"";"";"";"";"";14;"4";1,000;1,000;"PA0611::958b368b987d32b4e11131c6c596dc89";1,0000000;nein;nein;;0000;;0,0000;0%;0%;"PA0621::958b368b987d32b4e11131c6cb38ef89";Einheit;"";"";"";"";"";"";"";"";"";"";"";ja;"";"";"";;"";"09:06:54";"Kleber";06.07.2005;"PA0713::958b368b987d32b4e11126c6220ffe10";"";0,000;nein;0,00;;0,000;0,00;;0,000;nein
"nfietz";16.06.2020;"11:38:39";"100";"2000004";"PA0490::958b368b987d32b4e11131c6ee323205";71545;"PA0602::958b368b987d32b4e11131c6bb6f8d89";nein;nein;"1-0215882-0";"10 WAY GREY MK II RECP";"";"";"";14;"4";105,000;105,000;"PA0611::958b368b987d32b4e11131c6c596dc89";1,0000000;nein;nein;;0000;;0,0014;0%;0%;"PA0621::958b368b987d32b4e11131c6cb38ef89";Einheit;"";"";"";"";"";"";"";"";"";"";"";ja;"";"";"";;"";"08:08:09";"lsim";17.05.2013;"PA0713::d28f538244db3e85e211b8bedff90026";"";0,000;nein;0,00;;0,000;0,00;;0,000;nein
"";;"";"100";"2000004";"PA0490::958b368b987d32b4e11131c6ee323205";75520;"PA0602::958b368b987d32b4e11131c64d8c9389";nein;nein;"";"";"";"";"";0;"4";0,000;1,000;"PA0611::958b368b987d32b4e11131c6c596dc89";1,0000000;nein;nein;;0000;;0,0014;0%;0%;"PA0621::958b368b987d32b4e11131c6cb38ef89";Einheit;"";"";"";"";"";"";"";"";"";"";"";ja;"";"";"";;"";"08:58:27";"sblumtritt";03.11.2021;"PA0713:z:a601bf19adda38bc8a141d362c1f7314";"";0,000;nein;0,00;;0,000;0,00;;0,000;nein
"";;"";"100";"2000004";"PA0490::958b368b987d32b4e11131c6ee323205";75545;"PA0602::958b368b987d32b4e11131c66c979489";nein;nein;"";"";"";"";"";0;"4";0,000;1,000;"PA0611::958b368b987d32b4e11131c6c596dc89";1,0000000;nein;nein;;0000;;0,0014;0%;0%;"PA0621::958b368b987d32b4e11131c6cb38ef89";Einheit;"";"";"";"";"";"";"";"";"";"";"";ja;"";"";"";;"";"09:09:51";"sblumtritt";03.11.2021;"PA0713:z:a601bf19adda38bc8a143c3610e8d6ed";"";0,000;nein;0,00;;0,000;0,00;;0,000;nein
"cbienefeld";21.08.2024;"09:09:39";"100";"2000004";"PA0490::958b368b987d32b4e11131c6ee323205";77614;"PA0602::9b8fea5aa3e77caee7114d0d8f09316f";nein;nein;"1-215882-0";"";"";"";"";56;"4";6.300,000;105,000;"PA0611::958b368b987d32b4e11131c6c596dc89";1,0000000;nein;nein;;0000;;0,0014;0%;0%;"PA0621::958b368b987d32b4e11131c6cb38ef89";Einheit;"PA0605:z:c544d5f50e501aacc014f4bc68089eb6";"";"";"";"";"";"";"";"";"";"";ja;"";"";"";;"";"11:41:17";"mbong";18.07.2017;"PA0713::ff864d2c48eb0ba8e7119d6b77191f3f";"";0,000;nein;0,00;;0,000;0,00;;0,000;nein
"mvachelova";02.05.2024;"09:46:06";"100";"2000004";"PA0490::958b368b987d32b4e11131c6ee323205";78532;"PA0602::958b368b987d32b4e11131c62261ae89";nein;nein;"";"";"";"";"";14;"4";1.969,000;1,000;"PA0611::958b368b987d32b4e11131c6c596dc89";1,0000000;nein;nein;;0000;;0,0014;0%;0%;"PA0621::958b368b987d32b4e11131c6cb38ef89";Einheit;"PA0605:z:9221d0e2998f5d989214585430d78395";"";"";"";"";"";"";"";"";"";"";ja;"";"";"";;"";"09:45:58";"mvachelova";02.05.2024;"PA0713:z:fbed02fbb8e22785c2145023a82055d4";"";0,000;nein;0,00;;0,000;0,00;;0,000;nein
"nfietz";16.06.2020;"11:38:39";"100";"2000004";"PA0490::958b368b987d32b4e11131c6ee323205";82561;"PA0602::958b368b987d32b4e11131c6b4f1bb89";nein;nein;"";"";"";"";"";119;"4";1,000;1,000;"PA0611::958b368b987d32b4e11131c6c596dc89";1,0000000;nein;nein;;0000;;0,0014;0%;0%;"PA0621::958b368b987d32b4e11131c6cb38ef89";Einheit;"";"";"";"";"";"";"";"";"";"";"";ja;"";"";"";;"";"13:01:20";"mvachelova";06.03.2015;"PA0713::cb6b395411ac18aae411f8c388608980";"";0,000;nein;0,00;;0,000;0,00;;0,000;nein
"";;"";"100";"2000004";"PA0490::958b368b987d32b4e11131c6ee323205";87522;"PA0602::958b368b987d32b4e11131c696eb9f89";nein;nein;"";"";"";"";"";0;"4";0,000;1,000;"PA0611::958b368b987d32b4e11131c6c596dc89";1,0000000;nein;nein;;0000;;0,0014;0%;0%;"PA0621::958b368b987d32b4e11131c6cb38ef89";Einheit;"";"";"";"";"";"";"";"";"";"";"";ja;"";"";"";;"";"09:06:52";"sblumtritt";03.11.2021;"PA0713:z:a601bf19adda38bc8a1434364caae69c";"";0,000;nein;0,00;;0,000;0,00;;0,000;nein
"pcabanova";13.06.2023;"10:41:31";"100";"2000004";"PA0490::958b368b987d32b4e11131c6ee323205";88536;"PA0602::958b368b987d32b4e11131c682b5a189";nein;nein;"1-215882-0";"";"";"";"";14;"4";105,000;105,000;"PA0611::958b368b987d32b4e11131c6c596dc89";1,0000000;nein;nein;;0000;;0,0014;0%;0%;"PA0621::958b368b987d32b4e11131c6cb38ef89";Einheit;"PA0605:z:d4e311852e1d7aa39714312d28566ce8";"";"";"";"";"";"";"";"";"";"";ja;"";"";"";;"";"08:25:32";"yegeward";14.01.2015;"PA0713::80c29b0c20a3f5a0e411be9b1117f685";"";0,000;nein;0,00;;0,000;0,00;;0,000;nein
"mvachelova";09.05.2025;"09:50:06";"100";"2000004";"PA0490::958b368b987d32b4e11131c6ee323205";91528;"PA0602::958b368b987d32b4e11131c66564a489";nein;ja;"1-215882-0";"";"";"";"";14;"4";144,000;144,000;"PA0611::958b368b987d32b4e11131c6c596dc89";1,0000000;nein;nein;;0000;;0,0014;0%;0%;"PA0621::958b368b987d32b4e11131c6cb38ef89";Einheit;"PA0605:z:9221d0e2998f5d9892145e55aca0cec1";"";"";"";"";"";"";"";"";"";"";ja;"";"";"";;"";"13:23:23";"mappenzeller";06.06.2014;"PA0713::8c4e9004fe1a18a9e3116ced17718cf8";"";0,000;nein;0,00;;0,000;0,00;;0,000;nein
"lsim";17.05.2013;"08:13:02";"100";"2000004";"PA0490::958b368b987d32b4e11131c6ee323205";91540;"PA0602::958b368b987d32b4e11131c6b8b0a489";nein;nein;"300711";"";"";"";"";10;"4";1.120,000;1.120,000;"PA0611::958b368b987d32b4e11131c6c596dc89";1,0000000;nein;nein;;0000;;0,0014;0%;0%;"PA0621::958b368b987d32b4e11131c6cb38ef89";Einheit;"";"";"";"";"";"";"";"";"";"";"";ja;"";"";"";;"";"16:25:02";"Kleber";26.01.2005;"PA0713::958b368b987d32b4e11126c6230ffe10";"";0,000;nein;0,00;;0,000;0,00;;0,000;nein
"Kleber";25.07.2007;"15:10:42";"100";"2000004";"PA0490::958b368b987d32b4e11131c6ee323205";94518;"PA0602::958b368b987d32b4e11131c6ffe1a589";nein;nein;"";"";"";"";"";70;"4";140,000;140,000;"PA0611::958b368b987d32b4e11131c6c596dc89";1,0000000;nein;nein;;0000;;0,0000;0%;0%;"PA0621::958b368b987d32b4e11131c6cb38ef89";Einheit;"";"";"";"";"";"";"";"";"";"";"";ja;"";"";"";;"";"16:25:02";"Kleber";26.01.2005;"PA0713::958b368b987d32b4e11126c64c35fe10";"";0,000;nein;0,00;;0,000;0,00;;0,000;nein
"";;"";"100";"2000004";"PA0490::958b368b987d32b4e11131c6ee323205";94576;"PA0602:z:c9ee9a544d7a82be561411b410a99f95";nein;nein;"";"";"";"";"";0;"4";0,000;1,000;"PA0611::958b368b987d32b4e11131c6c596dc89";1,0000000;nein;nein;;0000;;0,0014;0%;0%;"PA0621::958b368b987d32b4e11131c6cb38ef89";Einheit;"";"";"";"";"";"";"";"";"";"";"";ja;"";"";"";;"";"09:50:00";"djalovicarov";29.10.2021;"PA0713:z:9e4b3f5865eebca8891470e7404412e7";"";0,000;nein;0,00;;0,000;0,00;;0,000;nein
"cbienefeld";27.08.2019;"08:39:59";"100";"2000021";"PA0490::958b368b987d32b4e11131c66aa53205";70569;"PA0602::958b368b987d32b4e11131c6f8cb8b89";nein;nein;"3421-6600";"";"";"";"";56;"4";420,000;420,000;"PA0611::958b368b987d32b4e11131c6c596dc89";1,0000000;nein;nein;;0000;;0,0044;0%;0%;"PA0621::958b368b987d32b4e11131c6cb38ef89";Einheit;"";"";"";"";"";"";"";"";"";"";"";ja;"";"";"";;"";"15:36:08";"lgrein";20.08.2019;"PA0713:z:d7aedf7893e314a55814a5bee4517fd9";"";0,000;nein;0,00;;0,000;0,00;;0,000;nein
"nfietz";16.06.2020;"11:38:39";"100";"2000021";"PA0490::958b368b987d32b4e11131c66aa53205";71516;"PA0602::958b368b987d32b4e11131c64a188c89";nein;nein;"";"";"";"";"";0;"4";0,000;1,000;"PA0611::958b368b987d32b4e11131c6c596dc89";1,0000000;nein;nein;;0000;;0,0044;0%;0%;"PA0621::958b368b987d32b4e11131c6cb38ef89";Einheit;"";"";"";"";"";"";"";"";"";"";"";ja;"";"";"";;"";"13:45:55";"jvesela";07.12.2016;"PA0713::fbfcab3e14ce359be6117bbc7dd3ce18";"";0,000;nein;0,00;;0,000;0,00;;0,000;nein
"cbienefeld";06.12.2022;"11:57:25";"100";"2000021";"PA0490::958b368b987d32b4e11131c66aa53205";73512;"PA0602::958b368b987d32b4e11131c674f88f89";nein;ja;"7100251658";"";"";"";"";132;"4";420,000;420,000;"PA0611::958b368b987d32b4e11131c6c596dc89";1,0000000;nein;nein;;0000;;0,0044;0%;0%;"PA0621::958b368b987d32b4e11131c6cb38ef89";Einheit;"PA0605:z:a9c8ca8607e837868b1457815cd3c1c8";"";"";"";"";"";"";"";"";"";"";ja;"";"";"";;"";"16:25:02";"Kleber";26.01.2005;"PA0713::958b368b987d32b4e11126c6facdfe10";"";0,000;nein;0,00;;0,000;0,00;;0,000;nein
"nfietz";16.06.2020;"11:38:39";"100";"2000021";"PA0490::958b368b987d32b4e11131c66aa53205";73584;"PA0602::c1bb43fe5c138d93e911711a13bdf5df";nein;nein;"";"";"";"";"";0;"4";0,000;1,000;"PA0611::958b368b987d32b4e11131c6c596dc89";1,0000000;nein;nein;;0000;;0,0044;0%;0%;"PA0621::958b368b987d32b4e11131c6cb38ef89";Einheit;"";"";"";"";"";"";"";"";"";"";"";ja;"";"";"";;"";"13:17:17";"lgrein";08.08.2019;"PA0713:z:ca305b9069a9b3a758148a00489b832a";"";0,000;nein;0,00;;0,000;0,00;;0,000;nein
"mkindler";10.05.2016;"08:58:40";"100";"2000021";"PA0490::958b368b987d32b4e11131c66aa53205";75518;"PA0602::958b368b987d32b4e11131c63db2ab89";nein;nein;"M66670";"";"";"";"";14;"4";20.300,000;20.300,000;"PA0611::958b368b987d32b4e11131c6c596dc89";1,0000000;nein;nein;;0000;;0,0044;0%;0%;"PA0621::958b368b987d32b4e11131c6cb38ef89";Einheit;"";"";"";"";"";"";"";"";"";"";"";ja;"";"";"";;"";"08:58:16";"mkindler";10.05.2016;"PA0713::a230d2b7e5ed0597e6117c161ac33792";"";0,000;nein;0,00;;0,000;0,00;;0,000;nein
"cbienefeld";01.10.2024;"14:51:42";"100";"2000021";"PA0490::958b368b987d32b4e11131c66aa53205";82577;"PA0602::e9cc1c7ed0178d80e2111abe1e4d8eec";nein;nein;"3421-6600";"";"";"";"";14;"4";420,000;420,000;"PA0611::958b368b987d32b4e11131c6c596dc89";1,0000000;nein;nein;;0000;;0,0044;0%;0%;"PA0621::958b368b987d32b4e11131c6cb38ef89";Einheit;"PA0605:z:9221d0e2998f5d989214bc54d079ac0c";"";"";"";"";"";"";"";"";"";"";ja;"";"";"";;"";"16:08:58";"lgrein";26.08.2019;"PA0713:z:ee214d7573ea7e9e59144d1dd81c8e7d";"";0,000;nein;0,00;;0,000;0,00;;0,000;nein
"lgrein";03.09.2019;"15:22:13";"100";"2000021";"PA0490::958b368b987d32b4e11131c66aa53205";88536;"PA0602::958b368b987d32b4e11131c682b5a189";nein;nein;"3421-6600";"";"";"";"";49;"4";1.680,000;420,000;"PA0611::958b368b987d32b4e11131c6c596dc89";1,0000000;nein;nein;;0000;;0,0044;0%;0%;"PA0621::958b368b987d32b4e11131c6cb38ef89";Einheit;"";"";"";"";"";"";"";"";"";"";"";ja;"";"";"";;"";"16:25:02";"Kleber";26.01.2005;"PA0713::958b368b987d32b4e11126c623f4fe10";"";0,000;nein;0,00;;0,000;0,00;;0,000;nein
"lgrein";10.09.2019;"14:03:26";"100";"2000021";"PA0490::958b368b987d32b4e11131c66aa53205";91528;"PA0602::958b368b987d32b4e11131c66564a489";nein;nein;"3421-6600";"";"";"";"";49;"4";420,000;10,000;"PA0611::958b368b987d32b4e11131c6c596dc89";1,0000000;nein;nein;;0000;;0,0044;0%;0%;"PA0621::958b368b987d32b4e11131c6cb38ef89";Einheit;"";"";"";"";"";"";"";"";"";"";"";ja;"";"";"";;"";"13:59:06";"lgrein";10.09.2019;"PA0713:z:aeacda83d33187ad5a14a007dcf5db5a";"";0,000;nein;0,00;;0,000;0,00;;0,000;nein
