"Firma";"Teil ";"S_Artikel_Obj";"Lagerort";"ML_Ort_Obj";"Var ";"ML_Lagergruppe_Obj";"Lagerplatz";"Auffüllbestand";"Auslösebestand";"Inv";"InvMeldebestand";"pInv";"Maximalbestand";"Meldebestand";"Sicherheitsbest";"Vorratsbestand";"UmlMenge";"ULV";"BuSp";"arch";"MLM_StorPartData_Obj";"Kunde*";"Sachbearb";"Projekt";"Laufzeit"
"100";"2000040";"PA0490::958b368b987d32b4e11131c636643305";120;"PA0823::958b368b987d32b4e1112cc679eac983";"";"PA0819::958b368b987d32b4e1112cc68091c183";"";0,000;0,000;nein;0,000;ja;0,000;0,000;883,000;0,000;0,000;nein;nein;nein;"PA2215:Ypdb:f7164d7c9795a5b45514dee478680831";"Fresenius";"cbienefeld";"";31.12.2025
"100";"2000338";"PA0490::958b368b987d32b4e11131c606973b05";120;"PA0823::958b368b987d32b4e1112cc679eac983";"";"PA0819::958b368b987d32b4e1112cc68091c183";"";0,000;0,000;nein;0,000;ja;0,000;0,000;7.500,000;0,000;0,000;nein;nein;nein;"PA2215:Ypdb:f7164d7c9795a5b45514dee41e58303f";"";"cbienefeld";"";31.12.2025
"100";"2000396";"PA0490::958b368b987d32b4e11131c66dd33d05";120;"PA0823::958b368b987d32b4e1112cc679eac983";"";"PA0819::958b368b987d32b4e1112cc68091c183";"";0,000;0,000;nein;0,000;ja;0,000;0,000;5.000,000;0,000;0,000;nein;nein;nein;"PA2215:Ypdb:f7164d7c9795a5b45514dee49eae8a42";"";"cbienefeld";"";31.12.2025
"100";"2000605";"PA0490::958b368b987d32b4e11131c61db54805";120;"PA0823::958b368b987d32b4e1112cc679eac983";"";"PA0819::958b368b987d32b4e1112cc68091c183";"";0,000;0,000;nein;0,000;ja;0,000;0,000;2.500,000;0,000;0,000;nein;nein;nein;"PA2215:Ypdb:f7164d7c9795a5b45514dee45d8fd051";"Bosch Lohr";"mvachelova";"";31.12.2025
"100";"2000807";"PA0490::b79a8582a60eb6a9e311343bdad2055b";120;"PA0823::958b368b987d32b4e1112cc679eac983";"";"PA0819::958b368b987d32b4e1112cc68091c183";"";0,000;0,000;nein;0,000;ja;0,000;0,000;1.260,000;0,000;0,000;nein;nein;nein;"PA2215:Ypdb:f7164d7c9795a5b45514dee449414164";"Fresenius";"cbienefeld";"";31.12.2020
"100";"2000809";"PA0490::c9b5af88e5444799e311fc3beaf3855b";120;"PA0823::958b368b987d32b4e1112cc679eac983";"";"PA0819::958b368b987d32b4e1112cc68091c183";"";0,000;0,000;nein;0,000;ja;0,000;0,000;1.000,000;0,000;0,000;nein;nein;nein;"PA2215:Ypdb:f7164d7c9795a5b45514dee42d0a7164";"";"mvachelova";"";31.12.2025
"100";"2000900";"PA0490::afeac986bd758689e711cabf08dbdb51";120;"PA0823::958b368b987d32b4e1112cc679eac983";"";"PA0819::958b368b987d32b4e1112cc68091c183";"";0,000;0,000;nein;0,000;ja;0,000;0,000;99,000;0,000;0,000;nein;nein;nein;"PA2215:Ypdb:f7164d7c9795a5b45514dee4a03ac16d";"Miwe";"djalovicarov";"Email von MO/AV,MV - 22.11.2022";31.12.2025
"100";"2400229";"PA0490::810d33551a42568ae4110485f090f146";120;"PA0823::958b368b987d32b4e1112cc679eac983";"";"PA0819::958b368b987d32b4e1112cc68091c183";"";0,000;0,000;nein;0,000;ja;0,000;0,000;500,000;0,000;0,000;nein;nein;nein;"PA2215:Ypdb:f7164d7c9795a5b45514dee4472b7fa7";"";"mvachelova";"FMC";30.06.2020
"100";"2500484";"PA0490::f8eacc7693105e95e81163f8bf4ed659";120;"PA0823::958b368b987d32b4e1112cc679eac983";"";"PA0819::958b368b987d32b4e1112cc68091c183";"";0,000;0,000;nein;0,000;ja;0,000;0,000;1.000,000;0,000;0,000;nein;nein;nein;"PA2215:Ypdb:f7164d7c9795a5b45514dee49e2a8bcf";"";"cbienefeld";"";31.12.2025
"100";"2600073";"PA0490::958b368b987d32b4e11131c649327a05";120;"PA0823::958b368b987d32b4e1112cc679eac983";"";"PA0819::958b368b987d32b4e1112cc68091c183";"";0,000;0,000;nein;0,000;ja;0,000;0,000;10,000;0,000;0,000;nein;nein;nein;"PA2215:Ypdb:f7164d7c9795a5b45514dee4c74c4cd8";"Miwe";"nfietz";"BS 4.0 + laufendes Geschäft";31.12.2025
"100";"2600089";"PA0490::958b368b987d32b4e11131c6693d7b05";120;"PA0823::958b368b987d32b4e1112cc679eac983";"";"PA0819::958b368b987d32b4e1112cc68091c183";"";0,000;0,000;nein;0,000;ja;0,000;0,000;2.400,000;0,000;0,000;nein;nein;nein;"PA2215:Ypdb:f7164d7c9795a5b45514dee4ca79f9d9";"Fresenius";"dfischer";"KanBan";31.12.2015
"100";"2600199";"PA0490::958b368b987d32b4e11131c617ab7e05";120;"PA0823::958b368b987d32b4e1112cc679eac983";"";"PA0819::958b368b987d32b4e1112cc68091c183";"";0,000;0,000;nein;0,000;ja;0,000;0,000;2.500,000;0,000;0,000;nein;nein;nein;"PA2215:Ypdb:f7164d7c9795a5b45514dee41ae41ee0";"A-Teil";"cbienefeld";"A-Teil";31.12.2025
"100";"2600298";"PA0490::958b368b987d32b4e11131c6418b8205";120;"PA0823::958b368b987d32b4e1112cc679eac983";"";"PA0819::958b368b987d32b4e1112cc68091c183";"";0,000;0,000;nein;0,000;ja;0,000;0,000;24.000,000;0,000;0,000;nein;nein;nein;"PA2215:Ypdb:f7164d7c9795a5b45514dee44cd3a3e6";"";"rpetsch";"A-Teil";31.12.2022
"100";"2600323";"PA0490::958b368b987d32b4e11131c6bdfd8205";120;"PA0823::958b368b987d32b4e1112cc679eac983";"";"PA0819::958b368b987d32b4e1112cc68091c183";"";0,000;0,000;nein;0,000;ja;0,000;0,000;3.000,000;0,000;0,000;nein;nein;nein;"PA2215:Ypdb:f7164d7c9795a5b45514dee4743d92e7";"A-Teil";"cbienefeld";"";31.12.2025
"100";"2600497";"PA0490::958b368b987d32b4e11131c69eac8505";120;"PA0823::958b368b987d32b4e1112cc679eac983";"";"PA0819::958b368b987d32b4e1112cc68091c183";"";0,000;0,000;nein;0,000;ja;0,000;0,000;24.000,000;0,000;0,000;nein;nein;nein;"PA2215:Ypdb:f7164d7c9795a5b45514dee442efb7ed";"A-Teil";"cbienefeld";"";31.12.2025
"100";"2600517";"PA0490::958b368b987d32b4e11131c61a1f8605";120;"PA0823::958b368b987d32b4e1112cc679eac983";"";"PA0819::958b368b987d32b4e1112cc68091c183";"";0,000;0,000;nein;0,000;ja;0,000;0,000;7.500,000;0,000;0,000;nein;nein;nein;"PA2215:Ypdb:f7164d7c9795a5b45514dee4af61a6ee";"A-Teil";"cbienefeld";"";31.12.2025
"100";"2600518";"PA0490::958b368b987d32b4e11131c61b1f8605";120;"PA0823::958b368b987d32b4e1112cc679eac983";"";"PA0819::958b368b987d32b4e1112cc68091c183";"";0,000;0,000;nein;0,000;ja;0,000;0,000;20.000,000;0,000;0,000;nein;nein;nein;"PA2215:Ypdb:f7164d7c9795a5b45514dee4140cd6ee";"";"cbienefeld";"A-Teil";31.12.2025
"100";"2600609";"PA0490::958b368b987d32b4e11131c6ca009105";120;"PA0823::958b368b987d32b4e1112cc679eac983";"";"PA0819::958b368b987d32b4e1112cc68091c183";"";0,000;0,000;nein;0,000;ja;0,000;0,000;50.000,000;0,000;0,000;nein;nein;nein;"PA2215:Ypdb:f7164d7c9795a5b45514dee414199cf4";"A-Teil";"cbienefeld";"A-Teil";31.12.2025
"100";"2600631";"PA0490::958b368b987d32b4e11131c6e90b9205";120;"PA0823::958b368b987d32b4e1112cc679eac983";"";"PA0819::958b368b987d32b4e1112cc68091c183";"";0,000;0,000;nein;0,000;ja;0,000;0,000;1.800,000;0,000;0,000;nein;nein;nein;"PA2215:Ypdb:f7164d7c9795a5b45514dee4ac4049f6";"";"dfischer";"A-Teil";31.12.2022
"100";"2600642";"PA0490::958b368b987d32b4e11131c68ea49205";120;"PA0823::958b368b987d32b4e1112cc679eac983";"";"PA0819::958b368b987d32b4e1112cc68091c183";"";0,000;0,000;nein;0,000;ja;0,000;0,000;5.000,000;0,000;0,000;nein;nein;nein;"PA2215:Ypdb:f7164d7c9795a5b45514dee42b5b67f7";"A-Teil";"cbienefeld";"A-Teil";31.12.2025
